sampleid,DATE,TARGET_TAXON,TOTAL
sample_128,4/12/2023,JANUA HETEROSTROPHA,3
sample_78,4/12/2023,BYBLIS SERRATA,7
sample_11,4/12/2023,PHASCOLION,6
sample_138,4/12/2023,PHYLLODOCE ARENAE,3
sample_147,4/12/2023,MYSTIDES BOREALIS,1
sample_7,4/12/2023,CHAETOZONE SETOSA,7
sample_80,4/12/2023,OLIGOCHAETA,0
sample_167,4/12/2023,DODECACERIA,10
sample_14,4/12/2023,FIMBRIOSTHENELAIS,15
sample_127,4/12/2023,CALLIANASSA,3
sample_62,4/12/2023,PYGOSPIO ELEGANS,11
sample_143,4/12/2023,AUTOLYTINAE,9
sample_145,4/12/2023,RHYNCHOSPIO,14
sample_20,4/12/2023,AMPHICTEIS,9
sample_55,4/12/2023,PAREXOGONE HEBES,1
sample_38,4/12/2023,PINNOTHERES,6
sample_111,4/12/2023,MICRONEPHTHYS MINUSCULUS,4
sample_192,4/12/2023,ARCTICA ISLANDICA,0
sample_134,4/12/2023,SIGALION,1
sample_66,4/12/2023,MALMGRENIELLA,0
sample_133,4/12/2023,CARAZZIELLA HOBSONAE,3
sample_112,4/12/2023,EULIMASTOMA ENGONIUM,1
sample_185,4/12/2023,ANADARA TRANSVERSA,15
sample_174,4/12/2023,PRIONOSPIO CIRRIFERA,11
sample_122,4/12/2023,SABACO CAROLINAE,11
sample_110,4/12/2023,STEPHENSONIANA,1
sample_2,4/12/2023,THRACIA,0
sample_7,4/12/2023,NAIS COMMUNIS,0
sample_19,4/12/2023,ENNUCULA CONVEXA,5
sample_62,4/12/2023,PISTA CRISTATA,11
sample_125,4/12/2023,PODARKEOPSIS,0
sample_191,4/12/2023,NEPHTYS CRYPTOMMA,18
sample_8,4/12/2023,HETEROMYSIS (HETEROMYSIS) FORMOSA,6
sample_36,4/12/2023,APOCOROPHIUM SIMILE,1
sample_104,4/12/2023,SCOLELEPIS,0
sample_60,4/12/2023,ARABELLA MUTANS,0
sample_35,4/12/2023,ARMANDIA,2
sample_195,4/12/2023,SYLLIDES,3
sample_66,4/12/2023,PARASABELLA MICROPHTHALMA,0
sample_141,4/12/2023,EUSYLLIS BLOMSTRANDI,0
sample_45,4/12/2023,NEVERITA DUPLICATA,0
sample_2,4/12/2023,CARCINUS MAENAS,2
sample_85,4/12/2023,BRADABYSSA VILLOSA,42
sample_94,4/12/2023,SCHISTOMERINGOS,2
sample_57,4/12/2023,EXOGONE ROLANI,3
sample_24,4/12/2023,MICROPROTOPUS,26
sample_9,4/12/2023,RHODINE,0
sample_198,4/12/2023,HEMIPODIA ,2
sample_75,4/12/2023,TURBONILLA ,8
sample_185,4/12/2023,PARANTHURA ELEGANS,20
sample_173,12/19/2023,TURBONILLA INTERRUPTA,9
sample_191,12/19/2023,EUSPIRA,17
sample_193,12/19/2023,SPIROBRANCHUS,1
sample_62,12/19/2023,MERCENARIA CAMPECHIENSIS,10
sample_189,12/19/2023,HYPERETEONE FAUCHALDI,5
sample_4,12/19/2023,OPHELIA LIMACINA,0
sample_48,12/19/2023,PARADONEIS LYRA,3
sample_40,12/19/2023,SPHAEROSYLLIS PIRIFEROPSIS,39
sample_15,12/19/2023,FABRICIIDAE,15
sample_62,12/19/2023,EXOGONE (EXOGONE) LOUREI,4
sample_154,12/19/2023,TUBIFICIDAE,3
sample_114,12/19/2023,PODARKEOPSIS LEVIFUSCINA,2
sample_131,12/19/2023,EUSYLLIS,13
sample_170,12/19/2023,TELLINIDAE,4
sample_63,12/19/2023,THYASIRA,8
sample_142,12/19/2023,OWENIA FUSIFORMIS,21
sample_177,12/19/2023,CAULLERIELLA VENEFICA,49
sample_36,12/19/2023,PARANINOE BREVIPES,4
sample_23,12/19/2023,COSSURA,10
sample_39,12/19/2023,LOIMIA VIRIDIS,32
sample_179,12/19/2023,CAPRELLA PENANTIS,21
sample_130,12/19/2023,COROPHIIDAE,6
sample_54,12/19/2023,AMERICHELIDIUM,7
sample_33,12/19/2023,IDUNELLA CLYMENELLAE,24
sample_103,12/19/2023,PLATYHELMINTHES,8
sample_161,12/19/2023,PARAPRIONOSPIO,41
sample_104,12/19/2023,CAUDOFOVEATA,14
sample_16,12/19/2023,AMPITHOE,12
sample_70,12/19/2023,CAPRELLA,7
sample_11,12/19/2023,PHERUSA,1
sample_109,12/19/2023,MYSTIDES BOREALIS,0
sample_128,12/19/2023,LUMBRICULIDAE,6
sample_158,12/19/2023,HYPERETEONE HETEROPODA,1
sample_195,12/19/2023,PINNOTHERIDAE,0
sample_49,12/19/2023,HAMINOEA,11
sample_169,12/19/2023,AMERICAMYSIS BAHIA,13
sample_46,12/19/2023,MICRONEPHTHYS MINUSCULUS,7
sample_107,12/19/2023,TUBIFICOIDES BROWNAE,2
sample_195,12/19/2023,PISTA QUADRILOBATA,15
sample_90,12/19/2023,STREPTOSYLLIS WEBSTERI,2
sample_166,12/19/2023,ARGISSA HAMATIPES,14
sample_61,12/19/2023,HEMIPODIA SIMPLEX,14
sample_20,12/19/2023,CIRRATULUS,2
sample_31,12/19/2023,COTONOPSIS LAFRESNAYI,6
sample_80,12/19/2023,IDOTEIDAE,1
sample_92,12/19/2023,ERICTHONIUS PUNCTATUS,17
sample_165,12/19/2023,OPHELIIDAE,4
sample_1,12/19/2023,ELASMOPUS PIIKOI,6
sample_104,12/19/2023,SIGALION ,2
sample_64,12/19/2023,EUMIDA,1
sample_105,12/19/2023,POLYGORDIUS APPENDICULATUS,3
sample_70,12/19/2023,ALIA PERMODESTA,9
sample_67,12/19/2023,CAECUM ORCUTTI,8
sample_173,12/19/2023,LUCINA MULTILINEATA,0
sample_109,11/15/2023,ERICHSONELLA,35
sample_184,11/15/2023,EUSPIRA HEROS,41
sample_63,11/15/2023,SPIOCHAETOPTERUS COSTARUM OCULATUS,25
sample_78,11/15/2023,BARANTOLLA,3
sample_102,11/15/2023,TUBIFICOIDES,10
sample_96,11/15/2023,THRACIA PHASEOLINA,0
sample_57,11/15/2023,PHASCOLION (LESENKA) CRYPTUM,2
sample_186,11/15/2023,EXOGONE DISPAR,0
sample_76,11/15/2023,MAERA SCHMIDTI,63
sample_151,11/15/2023,HYALE PUGETTENSIS,13
sample_167,11/15/2023,PISTA MOOREI,14
sample_71,11/15/2023,MANAYUNKIA AESTUARINA,11
sample_103,11/15/2023,AUSTROMITRA RUBIGINOSA,9
sample_172,11/15/2023,PRIONOSPIO DAYI,178
sample_78,11/15/2023,GAMMAROPSIS SOPHIAE,4
sample_33,11/15/2023,MALMGRENIELLA LIEI,5
sample_167,11/15/2023,CRANGON NIGROMACULATA,17
sample_105,11/15/2023,RUDILEMBOIDES STENOPROPODUS,76
sample_168,11/15/2023,ASTRORHIZA,8
sample_70,11/15/2023,AKERA BULLATA,57
sample_2,11/15/2023,MYIDAE,14
sample_177,11/15/2023,ANOMIIDAE,26
sample_146,11/15/2023,BARLEEIA HALIOTIPHILA,7
sample_51,11/15/2023,ISCHNOCHITONIDAE,55
sample_161,11/15/2023,ARCTEOBIA,8
sample_161,11/15/2023,GALATHOWENIA,77
sample_73,11/22/2023,APHRODITIDAE,1
sample_185,11/22/2023,CIRRATULIDAE,6
sample_13,11/22/2023,NEPHTYS BUCERA,24
sample_75,11/22/2023,NEREIS LAMELLOSA,18
sample_128,11/22/2023,MYSELLA PLANULATA,11
sample_115,11/22/2023,LEUCON AMERICANUS,0
sample_149,11/22/2023,EUSYLLIS,2
sample_67,11/22/2023,HAMINOEA,0
sample_10,11/22/2023,PAGURUS LONGICARPUS,10
sample_181,11/22/2023,CHAETOZONE,1
sample_58,11/22/2023,SYNIDOTEA,0
sample_104,11/22/2023,MAYERELLA LIMICOLA,25
sample_117,11/22/2023,LOIMIA MEDUSA,10
sample_136,11/22/2023,NEOMYSIS AMERICANA,5
sample_136,11/22/2023,PARAPRIONOSPIO,8
sample_108,11/22/2023,POLYCIRRINI,13
sample_71,11/22/2023,STHENELAIS LIMICOLA,3
sample_1,11/22/2023,LYSIANASSIDAE,24
sample_100,11/22/2023,EDWARDSIA ELEGANS,20
sample_187,11/22/2023,APISTOBRANCHUS,7
sample_69,11/22/2023,JASSA FALCATA,29
sample_200,11/22/2023,NEANTHES ACUMINATA,1
sample_146,11/22/2023,UNCIOLA,0
sample_138,11/22/2023,HETEROMASTUS FILIFORMIS,9
sample_109,11/22/2023,MICRURA,0
sample_54,11/22/2023,CYMADUSA COMPTA,10
sample_32,11/22/2023,GLYCERA DIBRANCHIATA,26
sample_63,11/22/2023,ASABELLIDES OCULATA,4
sample_190,11/22/2023,NEMERTEA,4
sample_34,11/22/2023,AKANTHOPHOREUS GRACILIS,26
sample_145,11/22/2023,MELITIDAE,9
sample_73,11/22/2023,ANACHIS,4
sample_86,11/22/2023,PISIONE REMOTA,4
sample_97,11/22/2023,PISTA,30
sample_150,11/22/2023,ASTARTE UNDATA,2
sample_43,11/22/2023,LOIMIA VIRIDIS,9
sample_179,11/22/2023,PARANAIS LITORALIS,5
sample_110,11/22/2023,PAGURIDAE,0
sample_159,11/22/2023,RETUSA OBTUSA,11
sample_161,11/22/2023,PISTA CRISTATA,4
sample_17,11/22/2023,CHAETODERMA NITIDULUM,0
sample_156,11/22/2023,PAGURISTES,2
sample_156,11/22/2023,AMERICAMYSIS BAHIA,4
sample_146,11/22/2023,MYSELLA,2
sample_195,11/22/2023,EUDORELLA MONODON,22
sample_115,11/22/2023,PLATYHELMINTHES,22
sample_66,11/22/2023,SABACO,2
sample_191,11/22/2023,POLYOPHTHALMUS PICTUS,4
sample_154,11/22/2023,MARGINELLIDAE,3
sample_198,4/24/2023,RHEPOXYNIUS EPISTOMUS,7
sample_13,4/24/2023,MONTICELLINA DORSOBRANCHIALIS,4
sample_83,4/24/2023,SYLLIDAE,7
sample_33,4/24/2023,PARADONEIS LYRA,1
sample_56,4/24/2023,HYDROIDES PROTULICOLA,24
sample_113,4/24/2023,PYTHINELLA CUNEATA,3
sample_196,4/24/2023,KIRKEGAARDIA DORSOBRANCHIALIS,6
sample_27,4/24/2023,UNCIOLA SERRATA,4
sample_20,4/24/2023,CEREBRATULUS,1
sample_125,4/24/2023,NOTOCIRRUS SPINIFERUS,2
sample_91,4/24/2023,STHENELAIS LIMICOLA,3
sample_110,4/24/2023,OPHELINA CYLINDRICAUDATA,7
sample_157,4/24/2023,SOLEMYA,0
sample_188,4/24/2023,LEPTOSTYLIS LONGIMANA,11
sample_84,4/24/2023,BYBLIS,4
sample_118,4/24/2023,AMPELISCA VERRILLI,6
sample_44,4/24/2023,EXOSPHAEROMA,1
sample_88,4/24/2023,CERATONEREIS,3
sample_140,4/24/2023,PAROUGIA ELIASONI,0
sample_118,4/24/2023,PARANAITIS SPECIOSA,1
sample_10,4/24/2023,LUMBRINERIS HEBES,1
sample_183,4/24/2023,PHYLLODOCE MACULATA,23
sample_23,4/24/2023,UNCIOLA DISSIMILIS,19
sample_124,4/24/2023,EDOTIA SP.,20
sample_56,4/24/2023,EULALIA VIRIDIS,16
sample_31,4/24/2023,LEPIDONOTUS VARIABILIS,6
sample_16,4/24/2023,MICROPHTHALMUS ABERRANS,6
sample_177,4/24/2023,NUCULIDAE,25
sample_126,4/24/2023,SABELLIDAE,15
sample_1,4/24/2023,NATICIDAE,19
sample_53,4/24/2023,DERO DIGITATA,0
sample_34,4/24/2023,ECLYSIPPE ELIASONI,7
sample_77,4/24/2023,POLYGORDIUS,3
sample_114,4/24/2023,CYATHURA POLITA,0
sample_43,4/24/2023,STENOTHOIDAE,7
sample_5,4/24/2023,LYSIDICE UNICORNIS,12
sample_80,4/24/2023,ENSIS,1
sample_148,4/24/2023,EUDORELLA TRUNCATULA,0
sample_149,4/24/2023,LINEUS,28
sample_148,4/24/2023,SPHAERODORIDAE,1
sample_98,4/24/2023,EXOGONE,3
sample_187,4/24/2023,ARICIDEA (STRELZOVIA) SUECICA,17
sample_179,4/24/2023,MONOCOROPHIUM,16
sample_144,4/24/2023,NEPHTYS BUCERA,0
sample_135,4/24/2023,HESIONIDAE,4
sample_127,4/24/2023,UNCIOLA IRRORATA,18
sample_15,4/24/2023,SPIOPHANES WIGLEYI,22
sample_159,4/24/2023,MERCENARIA MERCENARIA,2
sample_17,4/24/2023,LEPTOCHEIRUS PINGUIS,12
sample_52,4/24/2023,SPIOPHANES BOMBYX,26
sample_172,4/24/2023,GLYCINDE,18
sample_92,4/24/2023,VENERIDAE,4
sample_1,4/24/2023,NEPHTYIDAE,3
sample_169,4/24/2023,MACROCHAETA SEXOCULATA,17
sample_188,4/24/2023,AMERICHELIDIUM SHOEMAKERI,8
sample_147,4/24/2023,SCOLELEPIS (PARASCOLELEPIS) BOUSFIELDI,0
sample_22,4/24/2023,PSEUDOCUMA (PSEUDOCUMA) SIMILE,13
sample_172,4/24/2023,SABELLARIA SPINULOSA,2
sample_110,10/25/2023,PAGURUS LONGICARPUS,28
sample_41,10/25/2023,MYRIOCHELE HEERI,188
sample_178,10/25/2023,PAGURUS,29
sample_109,10/25/2023,PERKINSIANA FONTICULA,60
sample_162,10/25/2023,MOLGULA VERRUCIFERA,35
sample_78,10/25/2023,POLYPEDILUM HALTERALE,263
sample_172,10/25/2023,PHYLLAPLYSIA TAYLORI,9
sample_181,1/20/2023,POLYDORA COLONIA,173
sample_115,1/20/2023,DERO,28
sample_187,1/20/2023,DODECACERIA CONCHARUM,27
sample_135,1/20/2023,YOLDIA,1
sample_164,1/20/2023,PHOXOCEPHALUS,22
sample_164,1/20/2023,SCOLETOMA IMPATIENS,66
sample_83,1/20/2023,RHODINE GRACILIOR,14
sample_138,1/20/2023,IDOTEA PHOSPHOREA,102
sample_199,1/20/2023,PROTOHAUSTORIUS DEICHMANNAE,3
sample_180,1/20/2023,NEREIS LAMELLOSA,6
sample_25,1/20/2023,LEPTOSYNAPTA,16
sample_85,1/20/2023,EUCLYMENE,11
sample_45,1/20/2023,CERATOCEPHALE OCULATA,4
sample_184,1/20/2023,HALCAMPIDAE,53
sample_167,1/20/2023,ANONYX,93
sample_92,1/20/2023,OPHIOPSILA HARTMEYERI,14
sample_153,1/20/2023,NINOE NIGRIPES,210
sample_158,8/19/2023,MYRIOWENIA,27
sample_106,8/19/2023,SPISULA SOLIDISSIMA,18
sample_129,8/19/2023,NEREIS LAMELLOSA,20
sample_38,8/19/2023,PHILINE,90
sample_78,8/19/2023,SAYELLA FUSCA,119
sample_159,8/19/2023,GAMMARUS TIGRINUS,28
sample_122,8/19/2023,FARGOA GIBBOSA,3
sample_44,8/19/2023,COSSURA,23
sample_133,8/19/2023,SPIOCHAETOPTERUS OCULATUS,35
sample_76,8/19/2023,PHOTIS,49
sample_69,8/19/2023,THARYX,2
sample_184,8/19/2023,MYA ARENARIA,59
sample_50,8/19/2023,PRIONOSPIO MULTIBRANCHIATA,47
sample_128,8/19/2023,THARYX ACUTUS,75
sample_133,8/19/2023,HYDROIDES,151
sample_14,8/19/2023,THELEPODINAE,34
sample_197,8/19/2023,PAGURUS POLITUS,93
sample_139,8/19/2023,MAYERELLA BANKSIA,3
sample_119,8/19/2023,PERIPLOMA ORBICULARE,59
sample_80,11/24/2023,EUPOLYMNIA NEBULOSA,22
sample_97,11/24/2023,PROTOPHOXUS AUSTRALIS,3
sample_139,11/24/2023,PSEUDOPOLYDORA ROSEBELAE,28
sample_31,11/24/2023,NOTHRIA,15
sample_192,11/24/2023,PYTHINELLA CUNEATA,26
sample_71,11/24/2023,BASEODISCUS DELINEATUS,46
sample_62,11/24/2023,CAPITELLA ACICULATA,14
sample_104,11/24/2023,PENTAMERA PEDIPARVA,163
sample_39,11/24/2023,PSEUDOBRANCHIOMMA EMERSONI,1
sample_186,11/24/2023,MYODOCOPA,18
sample_49,11/24/2023,PROTODRILIDAE,9
sample_88,11/24/2023,PASIPHAEA PACIFICA,41
